Query                  Compass       Postgres     Difference     Ratio
----------------------------------------------------------------------
13b.sql              1276292      7122885      5846593      5.58 
3c.sql               613716       2142552      1528836      3.49 
29c.sql              4755016      5169014      413998       1.09 
29b.sql              4755016      5221135      466119       1.1  
25a.sql              2296958      3015157      718199       1.31 
33a.sql              2712502      3092264      379762       1.14 
3b.sql               613716       1885506      1271790      3.07 
13c.sql              1276292      7122885      5846593      5.58 
13a.sql              1276292      7125650      5849358      5.58 
2d.sql               818288       2972258      2153970      3.63 
33c.sql              2712502      3116799      404297       1.15 
25c.sql              2296958      3075987      779029       1.34 
29a.sql              4755016      5170596      415580       1.09 
25b.sql              2296958      3015138      718180       1.31 
33b.sql              2712502      3092871      380369       1.14 
3a.sql               613716       1937318      1323602      3.16 
13d.sql              1276292      7125726      5849434      5.58 
2a.sql               818288       2972224      2153936      3.63 
32b.sql              821894       1945004      1123110      2.37 
24b.sql              3094310      3796245      701935       1.23 
28a.sql              3527381      2915734      -611647      0.83 
12a.sql              1274895      1205164      -69731       0.95 
12c.sql              1274895      1282459      7564         1.01 
2b.sql               818288       2972219      2153931      3.63 
32a.sql              821894       1945004      1123110      2.37 
24a.sql              3094310      3796249      701939       1.23 
28b.sql              3527381      2324567      -1202814     0.66 
28c.sql              3527381      2955711      -571670      0.84 
2c.sql               818288       2972218      2153930      3.63 
12b.sql              1274895      7122882      5847987      5.59 
15a.sql              2468917      2042001      -426916      0.83 
9c.sql               1434401      1826397      391996       1.27 
19b.sql              2071450      690949       -1380501     0.33 
23c.sql              2480391      3174884      694493       1.28 
23b.sql              2480391      3141055      660664       1.27 
5a.sql               614513       55960        -558553      0.09 
19c.sql              2071450      1967916      -103534      0.95 
9b.sql               1434401      738352       -696049      0.51 
15b.sql              2468917      2041990      -426927      0.83 
8d.sql               1229829      25869401     24639572     21.03
19a.sql              2071450      1000692      -1070758     0.48 
5c.sql               614513       419820       -194693      0.68 
22d.sql              2299152      3801335      1502183      1.65 
23a.sql              2480391      3174876      694485       1.28 
5b.sql               614513       205078       -409435      0.33 
9a.sql               1434401      896654       -537747      0.63 
15c.sql              2468917      3122895      653978       1.26 
8a.sql               1229829      428601       -801228      0.35 
14c.sql              1456734      2714192      1257458      1.86 
4b.sql               818288       1887910      1069622      2.31 
19d.sql              2071450      7313175      5241725      3.53 
22a.sql              2299152      2697807      398655       1.17 
18a.sql              1455337      6999287      5543950      4.81 
4c.sql               818288       2242467      1424179      2.74 
14b.sql              1456734      2300779      844045       1.58 
9d.sql               1434401      2413588      979187       1.68 
8b.sql               1229829      417422       -812407      0.34 
15d.sql              2468917      3130611      661694       1.27 
4a.sql               818288       2102988      1284700      2.57 
18c.sql              1455337      1190899      -264438      0.82 
22b.sql              2299152      2697804      398652       1.17 
22c.sql              2299152      2776169      477017       1.21 
18b.sql              1455337      578022       -877315      0.4  
14a.sql              1456734      2714091      1257357      1.86 
8c.sql               1229829      25869401     24639572     21.03
16d.sql              2045720      18143642     16097922     8.87 
6e.sql               818288       16680477     15862189     20.38
7a.sql               1663515      15103027     13439512     9.08 
21b.sql              2254695      2487749      233054       1.1  
21c.sql              2254695      2800579      545884       1.24 
6d.sql               818288       16682663     15864375     20.39
17a.sql              1636576      17768007     16131431     10.86
17c.sql              1636576      17767849     16131273     10.86
7b.sql               1663515      15103027     13439512     9.08 
6f.sql               818288       16684911     15866623     20.39
21a.sql              2254695      2496585      241890       1.11 
7c.sql               1663515      15154057     13490542     9.11 
17b.sql              1636576      17767849     16131273     10.86
17f.sql              1636576      17768388     16131812     10.86
16b.sql              2045720      18145710     16099990     8.87 
6c.sql               818288       16680183     15861895     20.38
20a.sql              1843342      16866712     15023370     9.15 
6b.sql               818288       16680295     15862007     20.38
16c.sql              2045720      18143923     16098203     8.87 
16a.sql              2045720      18142955     16097235     8.87 
17e.sql              1636576      17768461     16131885     10.86
20c.sql              1843342      16866581     15023239     9.15 
20b.sql              1843342      16866450     15023108     9.15 
6a.sql               818288       16680262     15861974     20.38
17d.sql              1636576      17767849     16131273     10.86
11c.sql              1436407      2474385      1037978      1.72 
1b.sql               614513       1162252      547739       1.89 
31a.sql              3524390      4117383      592993       1.17 
27a.sql              3279149      2655079      -624070      0.81 
1c.sql               614513       585872       -28641       0.95 
11b.sql              1436407      11615731     10179324     8.09 
1a.sql               614513       591859       -22654       0.96 
31b.sql              3524390      3038070      -486320      0.86 
27b.sql              3279149      2625079      -654070      0.8  
27c.sql              3279149      5671712      2392563      1.73 
31c.sql              3524390      4163081      638691       1.18 
11a.sql              1436407      2446412      1010005      1.7  
10a.sql              1025257      1098546      73289        1.07 
1d.sql               614513       1163143      548630       1.89 
30c.sql              3525187      3252482      -272705      0.92 
26c.sql              2662427      17452302     14789875     6.56 
26b.sql              2662427      16886436     14224009     6.34 
30b.sql              3525187      3224838      -300349      0.91 
11d.sql              1436407      2504296      1067889      1.74 
10b.sql              1025257      1729653      704396       1.69 
26a.sql              2662427      16944871     14282444     6.36 
30a.sql              3525187      3165769      -359418      0.9  
10c.sql              1025257      5613992      4588735      5.48 
